query,category
I've made more than one attempt to make a purchase and the card keeps getting declined. Why do you keep denying my transfers?,declined_transfer
How can I verify my top-up card?,verify_top_up
I am having trouble withdrawing cash.,declined_cash_withdrawal
my phone was lost,lost_or_stolen_phone
Who can have access to top up my account?,topping_up_by_card
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",card_linking
Can I choose when my card is delivered?,card_delivery_estimate
How is the exchange rate doing?,exchange_rate
Why was I double charged?,transaction_charged_twice
I think you reverted my top up.,top_up_reverted
What's taking so long for this payment to go through?,pending_card_payment
"I am wanting to refill my card, is there a charge?",top_up_by_card_charge
Please tell me why I was charged additionally when I used the card.,card_payment_fee_charged
would a visa or mastercard be more suited to me?,visa_or_mastercard
I've already tried 5 times to complete a transfer that's just standard. What's the deal? Is your system down at this time?,failed_transfer
I requested $100 but only got $20,wrong_amount_of_cash_received
The $1.00 has still not been reverted as indicated in the previous email.,extra_charge_on_statement
the money i transferred didnt arrive,transfer_not_received_by_recipient
My PIN was entered wrong and now I am blocked.  Please unblock.,pin_blocked
How can I switch on my new card?,activate_my_card
Can I receive my card anywhere?,order_physical_card
I have been charged twice this week for a couple of things on my card. Can you please check this out for me and return the double charged items back?,transaction_charged_twice
I made a transfer from my UK account a couple of hours ago.  Could you please make sure everything went alright.,balance_not_updated_after_bank_transfer
What do I do to get ahold of my own card?,order_physical_card
How long does it take for a top-up?,pending_top_up
How can I verify if a cash withdrawal was made from my account? I still have my card with me but I did not authorize the withdrawal that just occurred.,cash_withdrawal_not_recognised
Can you please refund my item?,request_refund
can i get a physical card online,order_physical_card
Is there any cost to change foreign money to local?,exchange_charge
When I topped up the app has seemed to reverted it.,top_up_reverted
how long should I expect to wait for my card to arrive?,card_delivery_estimate
What do I do if I got the wrong amount at the ATM?,wrong_amount_of_cash_received
Can somebody else top up my account?,topping_up_by_card
Can you check the exchange rate on a cash transaction I did overseas,wrong_exchange_rate_for_cash_withdrawal
"Hi, I made a transfer from France two days ago and thought it would be here by now. Can you give me an update please?",balance_not_updated_after_bank_transfer
I am still waiting for my card.,card_arrival
I'm still waiting on a payment,pending_card_payment
I need to get visa and mastercard,visa_or_mastercard
The ATM didn't give me the full requested amount,wrong_amount_of_cash_received
Is there an auto top up option?,automatic_top_up
"I put money in my account a week ago but its still not there, what is happening?",balance_not_updated_after_cheque_or_cash_deposit
"I got this stupid fee after taking cash out, why?",cash_withdrawal_charge
Why did my top-up not go through?,top_up_reverted
I made a payment that is not yet complete.,pending_card_payment
I tried transferring to an account but it won't let me.,beneficiary_not_allowed
There is a vendor name I don't recognize on a payment from my account. I don't think I made this payment.,card_payment_not_recognised
I would like to know if I can top up with Google Pay.,apple_pay_or_google_pay
"The expiration date for my card is coming up, how do I get a new card?",card_about_to_expire
I noticed that i got charged extra for using the card.,card_payment_fee_charged
"I tried to get money out of the Notting Hill ATM earlier, but I wasn't able to get anything out. Is there a problem with my card? It's the first time I tried using it.",declined_cash_withdrawal
What currency can I use to pay for a top up?,supported_cards_and_currencies
My new landlord is a lier and is trying to rip me off by saying I've not paid my rent when I have paid my rent.  What is going on?  They say the money hasn't got to them but I see it going out of my account.  Can you check that the money went to the right place?,transfer_not_received_by_recipient
Is the exchange rate the same on weekends as the weekdays?,exchange_rate
I recently purchased something and the seller says my money has not arrived yet. It was in EU's. How long does this take?,pending_transfer
I attempted to get cash in the ATM but I was denied,declined_cash_withdrawal
"The exchange rate given to me after a purchase, was incorrect",card_payment_wrong_exchange_rate
The money has not yet been placed in recipients account.,transfer_not_received_by_recipient
Are there any charges for using a bank card to top up,top_up_by_card_charge
How can I get my money that I didn't get from the ATM?,wrong_amount_of_cash_received
Can this app be used to exchange currencies?,exchange_via_app
I tried to withdraw cash from the ATM machine and it did not work. Can you tell me why?,declined_cash_withdrawal
What do you demand for identity verification?,verify_my_identity
Who should I contact if the amount of my withdrawal doesn't correspond to the amount that I tried to take out of my account?,wrong_amount_of_cash_received
How long does it take to make an urgent transfer from China?,transfer_timing
Whats the transfer process,transfer_into_account
The cash I asked for still hasn't been received,wrong_amount_of_cash_received
Could you inform me as to why I have been charged a higher fee for doing banking abroad.,transfer_fee_charged
There are a couple payments with my card in the app I see that I didn't create. What is happening? Maybe someone gained access to my account.,card_payment_not_recognised
I was double charged at a restaurant can you take the second charge off?,transaction_charged_twice
I got charged twice for the same payment. Please removed the pending payment. Thank you.,transaction_charged_twice
I just bought an item and changed my mind.  I have not received it yet how can I get refunded.  Thank you.,request_refund
"If I have already completed a cash withdrawal at an ATM, is it normal for it to show as a pending transaction on the app?",pending_cash_withdrawal
Why would I need a disposable card?,get_disposable_virtual_card
Why wasn't my top-up accepted and where did that money go? At first it said it was confirmed but now I can't find it.,top_up_reverted
My payment has an incorrect exchange rate.,card_payment_wrong_exchange_rate
Why didn;t my payment work,declined_card_payment
What should I do if my card payment was cancelled?,reverted_card_payment?
I haven't gotten my credit card in the mail.,card_arrival
"I made a payment a while ago and it is still showing as ""pending"" in the account. How long will this payment take to complete?",pending_card_payment
Why did I get less from the ATM?,wrong_amount_of_cash_received
My card was declined but it shows as multiple charges?,transaction_charged_twice
do you have a fee for receiving a SEPA transfer?,top_up_by_bank_transfer_charge
My payment did not go through because the app reverted it,reverted_card_payment?
What happens if I use my account and my identity verification hasn't finished?,why_verify_identity
Since when do you charge to make a withdrawal? I've always done it for free. So how much is it now?,cash_withdrawal_charge
Is it possible to exchange currencies?,exchange_via_app
"My mother deposited a cheque into my account last week, why is it still not showing up?",balance_not_updated_after_cheque_or_cash_deposit
Can you tell me how long it takes for a new card to come?,card_delivery_estimate
My card activation is failing.,activate_my_card
"I saw on the app that a cash withdrawal was completed on my account; however, I did not complete it.",cash_withdrawal_not_recognised
"I am getting charged fees on some payments.  Please help me understand, where are these fees disclosed?",card_payment_fee_charged
How can I check to see where my funds come from?,verify_source_of_funds
The exchange rate for the money I took out in a foreign country is wrong.,wrong_exchange_rate_for_cash_withdrawal
I have a problem with a transfer. It didn't work. Can you tell me why?,declined_transfer
I have lost my phone or it has been stolen.,lost_or_stolen_phone
I couldn't get the money I needed.,wrong_amount_of_cash_received
Why is my withdrawal from the ATM still showing as pending?,pending_cash_withdrawal
How much extra will I be charged for exchanging foreign currency?,exchange_charge
I exchange currencies a lot.  Can I get a discount?,exchange_charge
Why am I being charged for the same thing twice?,transaction_charged_twice
My cash deposit hasn't posted to my account.,balance_not_updated_after_cheque_or_cash_deposit
"I deposited a cheque, but my account balance stayed the same.",balance_not_updated_after_cheque_or_cash_deposit
How much do I have to pay if I want to transfer money?,transfer_fee_charged
exchanging currencies costs what?,exchange_charge
"My bank app said that I got cash from an ATM, but that's a mistake.",cash_withdrawal_not_recognised
"I just want to top-up, why do I need to verify anything?",verify_top_up
Why was I charged twice?,transaction_charged_twice
I withdrew cash but it still shows as pending?,pending_cash_withdrawal
Can I unblock my PIN in the app?,pin_blocked
I need to exchange foreign currency will i be charged?,exchange_charge
Will my transfer be done soon?,pending_transfer
Is there a reason my new card hasn't arrived yet?,card_arrival
Which currencies are allowed?,fiat_currency_support
"My Bank is in Europe, how long will the transfer take?",transfer_timing
Can you tell me why I haven't received my new card?,card_arrival
When I was drunk I got my card stuck in your machine because i mis-typed my PIN. What do I need to do to get it restored?,pin_blocked
What is the refund process?,request_refund
Do I have to go into the bank to change my PIN?,change_pin
I have to verify my source of funds.,verify_source_of_funds
"Hi, I draw out some money from the ATM today. The ATM has given me wrong amount and the application is displaying more amount than i withdraw.",wrong_amount_of_cash_received
I was unable to transfer money to a beneficiary.,beneficiary_not_allowed
I could not get the cash I wanted,wrong_amount_of_cash_received
Can I receive payment in another currency?,receiving_money
I have a transaction showing up more than once.,transaction_charged_twice
I need help reapplying my top-up. It seems it isn't working.,top_up_failed
How can I know where did my funds come from?,verify_source_of_funds
Why is my refund not visible on my statement?,Refund_not_showing_up
My atm withdraw is stillpending,pending_cash_withdrawal
There is a strange card payment I don't recognise.,card_payment_not_recognised
Why have I been charged a small fee to use my card?,card_payment_fee_charged
"i made a payment with my card and was charged a fee, why would you do that",card_payment_fee_charged
How do I top up using my Apple Watch?,apple_pay_or_google_pay
Why isn't my id verified?,unable_to_verify_identity
Help! I think someone has made a cash withdrawal with my card!,cash_withdrawal_not_recognised
What happens when I am charged twice?,transaction_charged_twice
Can I top up using cash?,top_up_by_cash_or_cheque
Why wouldn't my withdrawal go through?,declined_cash_withdrawal
Why isn't my refund showing up?,Refund_not_showing_up
"I tried to get money out of the Notting Hill ATM earlier, but I wasn't able to get it to work. Is my card with issue? It's the first time I tried using it.",declined_cash_withdrawal
How do I revert a transaction?,cancel_transfer
Why am I being charged to transfer funds?,transfer_fee_charged
The recipient doesn't see the money transaction I made,transfer_not_received_by_recipient
Can I activate a card in the app?,card_linking
What do I do if a transaction shows up twice?,transaction_charged_twice
Do you charge for transfers?,top_up_by_bank_transfer_charge
What's up with the fee for getting cash?,cash_withdrawal_charge
Why did you charge me for taking out cash?,cash_withdrawal_charge
Will there be extra charges regarding to adding money into my international card?,top_up_by_card_charge
I didn't make a payment that shows in my app.,card_payment_not_recognised
Can you tell me if I can track the card you sent me?,card_arrival
"I just got a new card, and I want to know how to activate.",activate_my_card
Why is my 'top up' not showing up in my wallet?,topping_up_by_card
My card is almost going to expire.,card_about_to_expire
"My card is about to expire, what do I do?",card_about_to_expire
My topping up didn't go through.,top_up_failed
Are there certain cards and currencies you support?,supported_cards_and_currencies
"Can I use my account now, even though my identity verification has not gone through yet?",why_verify_identity
"My card keeps getting declined when I try to use it.  I would like to top-up, but it is not going though.",top_up_failed
What I topped up was reverted by the app.,top_up_reverted
I am having problems with my contactless.,contactless_not_working
"It seems you keep declining my transfers. Before, it's always worked very well.Just now when I tried to buy something the card was declined. I tried more than once and it was the same thing each time.",declined_transfer
I made a transaction at an atm and was charged extra for it.,cash_withdrawal_charge
Can I change my pin at a cash machine?,change_pin
Why isn't a refund showing on my statement?,Refund_not_showing_up
"What currencies can I not hold many in, if so what are they?",fiat_currency_support
"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",pending_transfer
How does a US resident go about acquiring a new card?,country_support
Do you support changing the currency I use?,exchange_via_app
I made a payment that's pending. Will it go through?,pending_card_payment
Why was I charged a fee when making this transfer when I shouldn't have been?,transfer_fee_charged
"While on vacation in Spain I think someone saw my PIN and I now need to change it, can I do this at an ATM in Spain?",change_pin
Why was I not allowed to do a transfer to a beneficiary?,beneficiary_not_allowed
Why is this payment on my app,card_payment_not_recognised
What currencies can I use?,supported_cards_and_currencies
What is the price for a physical card?,order_physical_card
Do I get an actual card?,order_physical_card
The balance has not been updated.,balance_not_updated_after_bank_transfer
What do I need to know about topping up?,top_up_by_card_charge
I need to know when a payment will actually go through. I completed a payment using my card but it is just showing as pending at this point and it has been a while ago.,pending_card_payment
I might need a new card because it's not working at any of the ATMs. I don't think ive used all my money. Why is it doing this?,declined_cash_withdrawal
how do i find top up for cash deposit,top_up_by_cash_or_cheque
Who should I talk to or go to resolve a duplicate charge on my statement?,transaction_charged_twice
is there something blocking me from making transfers,beneficiary_not_allowed
I need to top up using a cheque,top_up_by_cash_or_cheque
"Someone is using my card to purchase flights to New York it's not me because I'm not going to New York, please can you cancel the card and refund the money?",cash_withdrawal_not_recognised
"When will I see my cash, since I already deposited my check?",balance_not_updated_after_cheque_or_cash_deposit
"I moved, can I edit my personal details?",edit_personal_details
I made a cash withdraw and it shows up as pending why is that?,pending_cash_withdrawal
how does my statement get updated so i know when a refund will reflect on my balance,Refund_not_showing_up
What is the foreign exchange rate you will apply?,exchange_rate
I think I was charged by mistake on my debit statement.,direct_debit_payment_not_recognised
I sent some money and the account hasn't recived the transfer I made.,transfer_not_received_by_recipient
Explain why my card payment wouldn't go through.,declined_card_payment
I don't see my card anywhere in the app.,card_linking
How are the exchange rates determined?,exchange_rate
what is the correct exchange rate for getting cash,wrong_exchange_rate_for_cash_withdrawal
There are a couple of payments with my card shown in the app that I really didn't make myself. What's going on with this?,card_payment_not_recognised
Is it possible to top-up automatically?,automatic_top_up
My phone was stolen! What do I need to do?,lost_or_stolen_phone
Can you please explain how bank transfers work?,transfer_into_account
It seems I need to get information on limits for top-ups.,top_up_limits
I want to close my account & I will never do business with you again.,terminate_account
My cash withdrawal isnt showing on my account,pending_cash_withdrawal
My card payment has the wrong exchange rate,card_payment_wrong_exchange_rate
I just replaced my phone but how do I use my card information?,lost_or_stolen_phone
How do I reverse a transaction on my account?,request_refund
My card is showing the same transaction over and over again.,transaction_charged_twice
I thought transfers were free. Why was I charged to transfer?,transfer_fee_charged
Can I top-up my google pay?,apple_pay_or_google_pay
What is the cause of the delay in applying my card payment to my account?,pending_card_payment
"Please help me, as my topup amount has been reverted, i did it correctly. I think there is some defect in system.",top_up_reverted
Do you take checks?,top_up_by_cash_or_cheque
why has a transaction to a friend been delayed?,transfer_not_received_by_recipient
I don't recognize some transactions.  Is someone else using it?,compromised_card
How come I was charged a transaction of $1?,extra_charge_on_statement
Can I link my card I previously received?,card_linking
Can I order a new card by phone?,card_about_to_expire
Do you have the option for a disposable virtual card?,get_disposable_virtual_card
If I can't choose my card type will I be able to use it everywhere?,visa_or_mastercard
is there a fee for swift transfer,top_up_by_bank_transfer_charge
What is your age limit?,age_limit
Why and I being charged this fee?,card_payment_fee_charged
"Hello, I have recently made a purchase and have decided to cancel my purchase. Is there any way that you can cancel that transaction for me so I can get the money back? It's very important.",request_refund
Why can I not do a transfer to a beneficiary?,beneficiary_not_allowed
How can I verify my source of funds?,verify_source_of_funds
How long do money transfers take? My friend really needs the money i sent a couple of hours ago but it's not there yet.,transfer_not_received_by_recipient
Why did you charge me extra when I withdrew cash?,cash_withdrawal_charge
"After a transfer, I see an extra fee.  Why?",transfer_fee_charged
Please check and let me know why my transfers are getting declined.,declined_transfer
Why is there a pending time on my transfer?,pending_transfer
How can get a Visa card?,visa_or_mastercard
Can you explain why my payment was charged a fee?,card_payment_fee_charged
There are some charges that I don't recognize.  It happened days ago.  Can I get these charges back?  Should I cancel my card?,card_payment_not_recognised
I've been trying to make a transfer and it doesn't seem to be working. (5 times) What is wrong with your system?,failed_transfer
How long will it be to get this new card?,card_arrival
I can't find the auto-top up option.,automatic_top_up
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",card_payment_wrong_exchange_rate
My top-up failed to go through.,top_up_failed
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,beneficiary_not_allowed
I forgot my passcode. Now what?,passcode_forgotten
Can I change or hold different currency?,fiat_currency_support
I tried to get cash in the ATM but it was not approved,declined_cash_withdrawal
Why is there a direct debit to my account? I didn't do that.,direct_debit_payment_not_recognised
Is there a charge for transfers?,top_up_by_bank_transfer_charge
Why can't I use a disposable card?,disposable_card_limits
"My identity isn't being accepted, what should I do?",unable_to_verify_identity
The wait for this transfer seems to be taking a very long time.  It is very important that it goes through quickly. Can you please tell me how long it may take?,pending_transfer
There are two of the same charges on my account.,transaction_charged_twice
"I purchased something abroad, and the exchange rate that was applied was wrong.",card_payment_wrong_exchange_rate
I am looking to change my adress.,edit_personal_details
How do I delete an account?,terminate_account
I was declined when I tried to take out cash!,declined_cash_withdrawal
Why is my balance the same after a transfer?,balance_not_updated_after_bank_transfer
Where can I find out where my funds came from?,verify_source_of_funds
Where can I go to get my PIN unblocked?,pin_blocked
Do you also have this extra fee on your statement?,extra_charge_on_statement
Please delete the duplicate payment that was made to my account. One payment is still pending and I do not want to pay twice.,transaction_charged_twice
How do I link a new card to an existing one?,card_linking
If my card payment isn't working what do I do?,declined_card_payment
"I just saw a charge for a cash withdrawal that I made! ATM withdrawals have always been free in the past, so why is there suddenly a charge? What is it going to cost me now?",cash_withdrawal_charge
when should I receive my refund,Refund_not_showing_up
"Is it possible to go ahead and log in, although I have not been confirmed yet?",why_verify_identity
I made a payment and it appears it is showing twice,transaction_charged_twice
I didn't set up the direct debit I have,direct_debit_payment_not_recognised
I want to get a refund.,request_refund
Is there a reason I was charged an extra fee for using the ATM?,cash_withdrawal_charge
Is identity verification required for me to use my account?,why_verify_identity
What to do if my card is about to expire?,card_about_to_expire
Do I need to pay more for exchanging currencies?,exchange_charge
"I accidentally made a payment from the wrong account yesterday. It's my rent payment, and it's very large, so the account I paid from won't be able to cover the amount. It's really important that the payment be made from the right account?",cancel_transfer
When did I get a $1 extra fee on my statement?,extra_charge_on_statement
Is EUR one of the currencies you deal with?,fiat_currency_support
I found my old card. Can I link it back into the app?,card_linking
"I tempted to get some money out of the machine earlier and it did not work.Looking now, the transaction actually shows to still be in progress. I would certainly appreciate someone look into this and let me know what's going on. I definitely do not want to be charged for money I never received.",pending_cash_withdrawal
Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.,reverted_card_payment?
A pending charge of 1L appears on my statement.  Please explain as I have not made a purchase for that amount,extra_charge_on_statement
My top-up was reverted by the app.,top_up_reverted
My top-up didn't go through,top_up_failed
What is the process to link the new card?,card_linking
I got less cash because of the exchange rate.,wrong_exchange_rate_for_cash_withdrawal
I transferred some money but it hasn't arrived.,transfer_not_received_by_recipient
Can i set up an auto top-up?,automatic_top_up
Are there cash machines where I can change my PIN?,change_pin
A transaction shows duplicate times.,transaction_charged_twice
I got a notice from my app that I withdrew cash but I don't remember doing so. How do I fix this?,cash_withdrawal_not_recognised
Why was money taken for a transfer?,transfer_fee_charged
what steps do i do to get a real card,order_physical_card
My transfer isn't in,transfer_not_received_by_recipient
are SWIFT transfers an option?,top_up_by_bank_transfer_charge
Why did my transfer fail?  What can I do?,failed_transfer
Where do I go to order my card?,order_physical_card
can i get a card if I live in the usa?,country_support
Do you let me choose between Visa and Mastercard?,visa_or_mastercard
Where do I go to edit my personal details on my account?,edit_personal_details
Where is the top-up verification code?,verify_top_up
"I put money into my account in the form of a cheque, but my balance did not change.",balance_not_updated_after_cheque_or_cash_deposit
I am planning activating my card was it possible?,activate_my_card
Im going to need to make a transfer from a UK account but I need it to go through ASAP. Is that going to be possible or will it take forever?? Im hoping it will be a couple hours and not a couple weeks.,balance_not_updated_after_bank_transfer
Is there a limit on the number of times I can use a disposable card?,disposable_card_limits
Can you help me transfer money into my friend's bank account? I tried to do it but it keeps rejecting me. I need to get the money in there asap. I have enough and all the account info is correct.,failed_transfer
I tried to do a transfer and it hasn't worked!,failed_transfer
"In the exchange and holding, what fiat is allowed?",fiat_currency_support
What is the charge for exchanging currency?,exchange_charge
Card payment still pending.,pending_card_payment
"Help me!  When I was abroad, the exchange rate was wrong.",wrong_exchange_rate_for_cash_withdrawal
"Hi there, I came across a problem with my top up and my money is missing, was there a system error?",top_up_reverted
"There has been an unusual withdrawal from my account, can you help?",cash_withdrawal_not_recognised
Must I verify my identity?,why_verify_identity
"I would like to track a card sent to me, how do I do that?",card_arrival
"Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged?",pending_cash_withdrawal
top up cancellation,top_up_reverted
Have you started charging for cash withdrawals? I always thought it was free until I noticed this fee. How much is the fee?,cash_withdrawal_charge
Why was I charged when taking out money?,cash_withdrawal_charge
My refund isn't going fast enough.,Refund_not_showing_up
I have a transaction showing multiple times.,transaction_charged_twice
Which ATMs take the card?,atm_support
I have another card from the U.S. Will you be able to accept that one?,supported_cards_and_currencies
I placed a cash deposit in my account but I can't see it yet.,balance_not_updated_after_cheque_or_cash_deposit
"Hi, I had an issue with my card payment and It shows on my account that my payment went through. Then I got contacted from the seller saying ""they did not receive my payment"" then the payment was returned to my account. so I would like to see why it did that please.",reverted_card_payment?
"Hi there, I've tried to make a transfer 5 different times and its not working. Is your system down or something?",failed_transfer
How do I get another card,getting_spare_card
"daughter needs card, how do i add her",getting_spare_card
"my cash withdrawal is pending, why?",pending_cash_withdrawal
"Hi, I am unable to use my card in ATM. I had tried my card in two ATMs but both ATMs declined it. Could you please check my account?",declined_cash_withdrawal
My payment had a wrong exchange rate.,card_payment_wrong_exchange_rate
Are purchases returnable for full refund?,request_refund
think someone is using my card with permission,compromised_card
there is money in my account that i didnt put there,cash_withdrawal_not_recognised
My statement indicates I made a payment to an unfamiliar merchant.,card_payment_not_recognised
How low does the balance have to be before the system updates?,automatic_top_up
What's the process of changing from GBP to AUD?,exchange_via_app
I have an account that is empty of funds. Can I transfer some from another bank?,transfer_into_account
How do I deactivate my account?,terminate_account
Will you be adding more currencies in the future?,fiat_currency_support
Can I change my card PIN?,change_pin
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,extra_charge_on_statement
Why did I only receive this much currency?,wrong_exchange_rate_for_cash_withdrawal
I just got an error message saying my transfer is not possible? Why is that? I've transferred money before and it worked without problem,beneficiary_not_allowed
"Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?",pending_cash_withdrawal
I have a withdrawal waiting to go through.,pending_cash_withdrawal
Can I get information on the identity checks?,verify_my_identity
I got married and need to change my name.,edit_personal_details
on my statement there is a payment that I don't recognise,card_payment_not_recognised
I would like to have a physical card to carry around and use. How can I get one?,order_physical_card
"The ATM charged me an extra fee, Why?",cash_withdrawal_charge
What can I use to verify my identity?,verify_my_identity
"Why can't I transfer my money into someone else's account? I should be able to do so right? Why does it keep rejecting my transfer? There's no reason, all my info is correct and the money is there.",failed_transfer
I need to update my demographics.,edit_personal_details
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?,pending_cash_withdrawal
Is the verification number on the top up card,verify_top_up
How do I contact customer support about my declined transfer?,declined_transfer
i need to top up by card.,topping_up_by_card
What is the fee for topping up a US card?,top_up_by_card_charge
I need my card ASAP!,card_delivery_estimate
Can you please tell me why I cant get money from the ATM?,declined_cash_withdrawal
Is there a way I can check on the card on route to me?,card_arrival
I see a direct debit payment on my app that I did not do,direct_debit_payment_not_recognised
Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,card_payment_wrong_exchange_rate
Can I set automatic top ups?,automatic_top_up
can you top up your account automatically,automatic_top_up
The first payment I attempted for my card at the store earlier did not process so I had to make a second attempt. The second time it worked. It now appears I was charged twice. After looking at the app I see a pending charge. Please remove the pending amount because it is clearly not accurate and was declined.,transaction_charged_twice
Are there ways for other people to send me money?,receiving_money
"I am waiting on this refund, hurry up.",Refund_not_showing_up
