query,context,response,label
Which player singed to Bayern Munich was born in 18 October 1983?," Before the start of the season, Bayern signed Xherdan Shaqiri, Dante, Claudio Pizarro, Mitchell Weiser, Tom Starke and Mario Mandžukić.Dante Bonfim Costa Santos (born 18 October 1983), commonly known as Dante (] ), is a Brazilian professional footballer who plays for French Ligue 1 club Nice.",Dante Bonfim Costa Santos (born 18 October 1983),1
Which player singed to Bayern Munich was born in 18 October 1983?," Before the start of the season, Bayern signed Xherdan Shaqiri, Dante, Claudio Pizarro, Mitchell Weiser, Tom Starke and Mario Mandžukić.Dante Bonfim Costa Santos (born 18 October 1983), commonly known as Dante (] ), is a Brazilian professional footballer who plays for French Ligue 1 club Nice.",The player signed by Bayern Munich who was born in 1983 is Dante.,0
"Azfar Hussain (Bengali: আজফার হোসেন ) is a Bangladeshi theorist, critic, academic, bilingual writer, poet, translator, and activist, Bengali, is also known by its endonym Bangla, it's the national, and official language of which country?","Azfar Hussain (Bengali: আজফার হোসেন ) is a Bangladeshi theorist, critic, academic, bilingual writer, poet, translator, and activist. It is the national and official language of the People's Republic of Bangladesh, and the official language of some eastern and north-eastern states of the Republic of India, including West Bengal, Tripura, Assam (Barak Valley) and Andaman and Nicobar Islands.",People's Republic of Bangladesh,1
"Azfar Hussain (Bengali: আজফার হোসেন ) is a Bangladeshi theorist, critic, academic, bilingual writer, poet, translator, and activist, Bengali, is also known by its endonym Bangla, it's the national, and official language of which country?","Azfar Hussain (Bengali: আজফার হোসেন ) is a Bangladeshi theorist, critic, academic, bilingual writer, poet, translator, and activist. It is the national and official language of the People's Republic of Bangladesh, and the official language of some eastern and north-eastern states of the Republic of India, including West Bengal, Tripura, Assam (Barak Valley) and Andaman and Nicobar Islands.",Bengali is not the national language of any country.,0
What is the estimated wealth intensifying of the novel on which the film Blue Blood is based ?," It was based on the novel ""The Carry-Cot"" by Alexander Thynn. He was ranked 359th in the ""Sunday Times Rich List 2009"" with an estimated wealth of £157 million.",£157 million.,1
What is the estimated wealth intensifying of the novel on which the film Blue Blood is based ?," It was based on the novel ""The Carry-Cot"" by Alexander Thynn. He was ranked 359th in the ""Sunday Times Rich List 2009"" with an estimated wealth of £157 million.","The novel ""The Carry-Cot"" has nothing to do with wealth.",0
"Who directed a 1980 American biographical black-and-white sports drama film, that had a French-born American film editor who has worked with the director for over forty years, edit all the films? "," She started working with Scorsese on his debut feature film ""Who's That Knocking at My Door"" (1967), and edited all of Scorsese's films since ""Raging Bull"" (1980).Raging Bull is a 1980 American biographical black-and-white sports drama film directed by Martin Scorsese, produced by Robert Chartoff and Irwin Winkler and adapted by Paul Schrader and Mardik Martin from Jake LaMotta's memoir """".",Martin Scorsese,1
"Who directed a 1980 American biographical black-and-white sports drama film, that had a French-born American film editor who has worked with the director for over forty years, edit all the films? "," She started working with Scorsese on his debut feature film ""Who's That Knocking at My Door"" (1967), and edited all of Scorsese's films since ""Raging Bull"" (1980).Raging Bull is a 1980 American biographical black-and-white sports drama film directed by Martin Scorsese, produced by Robert Chartoff and Irwin Winkler and adapted by Paul Schrader and Mardik Martin from Jake LaMotta's memoir """".",The film was directed by Francis Ford Coppola.,0
what does Fatal Termination and Robin Shou have in common?,"Fatal Termination (also known as Death Blow, original title Chi se da feng bao) is a 1990 Hong Kong action film starring Moon Lee and Robin Shou. He is known for his role as Liu Kang in the ""Mortal Kombat"" film series and as Gobei in ""Beverly Hills Ninja"", with Chris Farley.",film,1
what does Fatal Termination and Robin Shou have in common?,"Fatal Termination (also known as Death Blow, original title Chi se da feng bao) is a 1990 Hong Kong action film starring Moon Lee and Robin Shou. He is known for his role as Liu Kang in the ""Mortal Kombat"" film series and as Gobei in ""Beverly Hills Ninja"", with Chris Farley.",Robin Shou acted in Fatal Termination.,0
"What is the name of the American football coach born in 1967, who is in his fifth season, as of 2017, with the Idaho Vandals football team?","The Idaho Vandals are the college football team that represents the University of Idaho and plays its home games at the Kibbie Dome, an indoor facility on campus in Moscow, Idaho. The current head coach is Paul Petrino, in his fifth season in 2017.Paul Vincent Petrino (born May 25, 1967) is an American college football coach, currently the head coach at the University of Idaho in Moscow.",Paul Petrino,1
"What is the name of the American football coach born in 1967, who is in his fifth season, as of 2017, with the Idaho Vandals football team?","The Idaho Vandals are the college football team that represents the University of Idaho and plays its home games at the Kibbie Dome, an indoor facility on campus in Moscow, Idaho. The current head coach is Paul Petrino, in his fifth season in 2017.Paul Vincent Petrino (born May 25, 1967) is an American college football coach, currently the head coach at the University of Idaho in Moscow.",Vincent Petrino coaches the Idaho Vandals.,0
"Splendor in the Grass was a film directed by a Greek-American director described as  ""one of the most honored and influential directors in Broadway and Hollywood history"" by who?","Splendor in the Grass is a 1961 Technicolor drama film that tells a story of a teenage girl navigating her feelings of sexual repression, love, and heartbreak. Written by William Inge, who appears briefly as a Protestant clergyman and who won an Oscar for his screenplay, the film was directed by Elia Kazan and features a score by jazz composer David Amram.Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September 28, 2003) was a Greek-American director, producer, writer and actor, described by ""The New York Times"" as ""one of the most honored and influential directors in Broadway and Hollywood history"".",The New York Times,1
"Splendor in the Grass was a film directed by a Greek-American director described as  ""one of the most honored and influential directors in Broadway and Hollywood history"" by who?","Splendor in the Grass is a 1961 Technicolor drama film that tells a story of a teenage girl navigating her feelings of sexual repression, love, and heartbreak. Written by William Inge, who appears briefly as a Protestant clergyman and who won an Oscar for his screenplay, the film was directed by Elia Kazan and features a score by jazz composer David Amram.Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September 28, 2003) was a Greek-American director, producer, writer and actor, described by ""The New York Times"" as ""one of the most honored and influential directors in Broadway and Hollywood history"".",Variety Magazine,0
What album included a song about Mia Zapata?," is the second album by the American punk band 7 Year Bitch. The album's title is in tribute to The Gits' vocalist, and friend of the group, Mia Zapata, who was raped and strangled to death in July 1993.Mia Katherine Zapata (August 25, 1965 – July 7, 1993) was the lead singer for the Seattle punk band The Gits.",7 Year Bitch,1
What album included a song about Mia Zapata?," is the second album by the American punk band 7 Year Bitch. The album's title is in tribute to The Gits' vocalist, and friend of the group, Mia Zapata, who was raped and strangled to death in July 1993.Mia Katherine Zapata (August 25, 1965 – July 7, 1993) was the lead singer for the Seattle punk band The Gits.",Mia Zapata inspired multiple albums.,0
"What genus has more species, Centradenia or Lindera?","Centradenia is a genus of 4-5 species of tropical evergreen perennials or subshrubs, native to Central America and Mexico.Lindera is a genus of about 80-100 species of flowering plants in the family Lauraceae, mostly native to eastern Asia but with three species in eastern North America.",Lindera,1
"What genus has more species, Centradenia or Lindera?","Centradenia is a genus of 4-5 species of tropical evergreen perennials or subshrubs, native to Central America and Mexico.Lindera is a genus of about 80-100 species of flowering plants in the family Lauraceae, mostly native to eastern Asia but with three species in eastern North America.",Centradenia has many species.,0
"When was the movie released in 2007 in which ""Let's Go"" song was used?","""Let's Go"" is the first single by American rapper Trick Daddy from his sixth studio album """". It was used in the films ""Stomp the Yard"" (2007) and ""Neighbors"" (2014) in addition to the extended trailer for ""Megamind"" (2010).Stomp the Yard is a 2007 dance drama film produced by Rainforest Films and released through Sony Pictures' Screen Gems division on January 12, 2007.","January 12, 2007",1
"When was the movie released in 2007 in which ""Let's Go"" song was used?","""Let's Go"" is the first single by American rapper Trick Daddy from his sixth studio album """". It was used in the films ""Stomp the Yard"" (2007) and ""Neighbors"" (2014) in addition to the extended trailer for ""Megamind"" (2010).Stomp the Yard is a 2007 dance drama film produced by Rainforest Films and released through Sony Pictures' Screen Gems division on January 12, 2007.","February 7, 2007",0
what does Street Fight and Cory Booker have in common?,"Street Fight is a 2005 documentary film by Marshall Curry, chronicling Cory Booker's 2002 campaign against Sharpe James for Mayor of Newark, New Jersey. Previously he served as mayor of Newark from 2006 to 2013.",New Jersey,1
what does Street Fight and Cory Booker have in common?,"Street Fight is a 2005 documentary film by Marshall Curry, chronicling Cory Booker's 2002 campaign against Sharpe James for Mayor of Newark, New Jersey. Previously he served as mayor of Newark from 2006 to 2013.",Street Fight and Cory Booker have in common the city of Newark.,0
"Who is the fictional character in the Transfer of Power book from 1999 and in the film adaptation of ""American Assassin""?","Transfer of Power is Vince Flynn's second published book in 1999 and is where the reader meets Mitch Rapp, the CIA's super agent.Mitch Rapp is a fictional character in a series of novels by Vince Flynn and in the film adaptation of ""American Assassin"" (previously ""Consent to Kill"").",Mitch Rapp,1
"Who is the fictional character in the Transfer of Power book from 1999 and in the film adaptation of ""American Assassin""?","Transfer of Power is Vince Flynn's second published book in 1999 and is where the reader meets Mitch Rapp, the CIA's super agent.Mitch Rapp is a fictional character in a series of novels by Vince Flynn and in the film adaptation of ""American Assassin"" (previously ""Consent to Kill"").","The fictional character in the Transfer of Power book from 1999 and in the film adaptation of ""American Assassin"" is Mike Rapp.",0
"For which invention are both Christian Friedrich Schönbein, a the German-Swiss chemist and William Robert Grove, the Welsh judge and physical scientist given credit?","Christian Friedrich Schönbein (18 October 1799 – 29 August 1868) was a German-Swiss chemist who is best known for inventing the fuel cell (1838) at the same time as William Robert Grove, Robert Cumming and his discoveries of guncotton and ozone.Sir William Robert Grove, PC, FRS FRSE (11 July 1811 – 1 August 1896) was a Welsh judge and physical scientist. He anticipated the general theory of the conservation of energy, and was a pioneer of fuel cell technology.",fuel cell,1
"For which invention are both Christian Friedrich Schönbein, a the German-Swiss chemist and William Robert Grove, the Welsh judge and physical scientist given credit?","Christian Friedrich Schönbein (18 October 1799 – 29 August 1868) was a German-Swiss chemist who is best known for inventing the fuel cell (1838) at the same time as William Robert Grove, Robert Cumming and his discoveries of guncotton and ozone.Sir William Robert Grove, PC, FRS FRSE (11 July 1811 – 1 August 1896) was a Welsh judge and physical scientist. He anticipated the general theory of the conservation of energy, and was a pioneer of fuel cell technology.",Both Christian Friedrich Schönbein and William Robert Grove are credited with discovering the solid oxide fuel cell.,0
Which group owns the sister company of Market Place by Jasons?," It is the sister company of Wellcome.Wellcome (; Cantonese: ""Wai Hong"" in Hong Kong; in Taiwan) is a supermarket chain owned by Jardine Matheson Holdings via its Dairy Farm International Holdings subsidiary.",Jardine Matheson Holdings,1
Which group owns the sister company of Market Place by Jasons?," It is the sister company of Wellcome.Wellcome (; Cantonese: ""Wai Hong"" in Hong Kong; in Taiwan) is a supermarket chain owned by Jardine Matheson Holdings via its Dairy Farm International Holdings subsidiary.",Market Place by Jasons is owned by Dairy Farm International Holdings.,0
"July 31, 1912 this Nobel Prize winner in Economic Sciences founded EdChoice?"," It was founded in 1996 by Nobel laureate Milton Friedman and his wife, economist Rose Director Friedman.Milton Friedman ( ; July 31, 1912 – November 16, 2006) was an American economist who received the 1976 Nobel Memorial Prize in Economic Sciences for his research on consumption analysis, monetary history and theory, and the complexity of stabilization policy.",Milton Friedman,1
"July 31, 1912 this Nobel Prize winner in Economic Sciences founded EdChoice?"," It was founded in 1996 by Nobel laureate Milton Friedman and his wife, economist Rose Director Friedman.Milton Friedman ( ; July 31, 1912 – November 16, 2006) was an American economist who received the 1976 Nobel Memorial Prize in Economic Sciences for his research on consumption analysis, monetary history and theory, and the complexity of stabilization policy.","No, EdChoice was not founded by Milton Friedman on July 31, 1912.",0
"What is the nationality of the harpist who came out with the album ""White Winds""?","White Winds is Andreas Vollenweider's fourth studio album, released in 1984.Andreas Vollenweider (born 4 October 1953) is a Swiss harpist.",Swiss,1
"What is the nationality of the harpist who came out with the album ""White Winds""?","White Winds is Andreas Vollenweider's fourth studio album, released in 1984.Andreas Vollenweider (born 4 October 1953) is a Swiss harpist.",Andreas Vollenweider is of Italian descent.,0
What county is the Moscow Hemp Fest held in?,"The Moscow Hemp Fest (sometimes Moscow Hempfest) is an annual cannabis event held in Moscow, Idaho, in the United States. It began in 1996 for the University of Idaho's Mom's Weekend.The University of Idaho (officially abbreviated UI, locally referred to as ""the U of I"") is the U.S. state of Idaho's oldest public university, located in the city of Moscow in Latah County in the northern portion of the state.",Latah County,1
What county is the Moscow Hemp Fest held in?,"The Moscow Hemp Fest (sometimes Moscow Hempfest) is an annual cannabis event held in Moscow, Idaho, in the United States. It began in 1996 for the University of Idaho's Mom's Weekend.The University of Idaho (officially abbreviated UI, locally referred to as ""the U of I"") is the U.S. state of Idaho's oldest public university, located in the city of Moscow in Latah County in the northern portion of the state.",The Moscow Hemp Fest is held in Idaho County.,0
The Mincome experiment occurred during which number prime minister?," The project, funded jointly by the Manitoba provincial government and the Canadian federal government under Prime Minister Pierre Trudeau.Joseph Philippe Pierre Yves Elliott Trudeau, ( ; ] ; October 18, 1919 – September 28, 2000), often referred to by the initials PET, was a Canadian statesman who served as the 15th Prime Minister of Canada (1968–1979 and 1980–1984).",15th,1
The Mincome experiment occurred during which number prime minister?," The project, funded jointly by the Manitoba provincial government and the Canadian federal government under Prime Minister Pierre Trudeau.Joseph Philippe Pierre Yves Elliott Trudeau, ( ; ] ; October 18, 1919 – September 28, 2000), often referred to by the initials PET, was a Canadian statesman who served as the 15th Prime Minister of Canada (1968–1979 and 1980–1984).",The Mincome experiment occurred during 16th prime minister.,0
which film dirtected by Alex Proyas and starring Nicolas Cage was written by Juliet Snowden?,"Juliet Snowden is an American screenwriter, film director, and producer, best known for writing ""Knowing"" and ""Ouija"".Knowing (stylized as KNOW1NG) is a 2009 science fiction thriller film directed by Alex Proyas and starring Nicolas Cage.",Knowing,1
which film dirtected by Alex Proyas and starring Nicolas Cage was written by Juliet Snowden?,"Juliet Snowden is an American screenwriter, film director, and producer, best known for writing ""Knowing"" and ""Ouija"".Knowing (stylized as KNOW1NG) is a 2009 science fiction thriller film directed by Alex Proyas and starring Nicolas Cage.",Juliet Snowden co-directed Knowing with Alex Proyas.,0
Are Paphiopedilum and Soleirolia both flowering plants?,"Paphiopedilum, often called the Venus slipper, is a genus of the Lady slipper orchid subfamily ""Cypripedioideae"" of the flowering plant family Orchidaceae.Soleirolia soleirolii ( , syn.",no,1
Are Paphiopedilum and Soleirolia both flowering plants?,"Paphiopedilum, often called the Venus slipper, is a genus of the Lady slipper orchid subfamily ""Cypripedioideae"" of the flowering plant family Orchidaceae.Soleirolia soleirolii ( , syn.",Paphiopedilum and Soleirolia are not related.,0
Which league does the 2010 head coach of the SMU Mustangs football team currently coach in?," The Mustangs, led by third-year head coach June Jones, were members of Conference USA in the West Division and played their home games at Gerald J. Ford Stadium.June Sheldon Jones III (born February 19, 1953) is an American football coach and former player, currently serving as a head coach of the Hamilton Tiger-Cats of the Canadian Football League (CFL).",Canadian Football League,1
Which league does the 2010 head coach of the SMU Mustangs football team currently coach in?," The Mustangs, led by third-year head coach June Jones, were members of Conference USA in the West Division and played their home games at Gerald J. Ford Stadium.June Sheldon Jones III (born February 19, 1953) is an American football coach and former player, currently serving as a head coach of the Hamilton Tiger-Cats of the Canadian Football League (CFL).",The 2010 head coach of the SMU Mustangs football team is now coaching in the NFL.,0
"What was the nationality of the person who said Leonard Jimmie Savage was ""one of the few people I have met whom I would unhesitatingly call a genius""?"," Economist Milton Friedman said Savage was ""one of the few people I have met whom I would unhesitatingly call a genius.""Milton Friedman ( ; July 31, 1912 – November 16, 2006) was an American economist who received the 1976 Nobel Memorial Prize in Economic Sciences for his research on consumption analysis, monetary history and theory, and the complexity of stabilization policy.",American,1
"What was the nationality of the person who said Leonard Jimmie Savage was ""one of the few people I have met whom I would unhesitatingly call a genius""?"," Economist Milton Friedman said Savage was ""one of the few people I have met whom I would unhesitatingly call a genius.""Milton Friedman ( ; July 31, 1912 – November 16, 2006) was an American economist who received the 1976 Nobel Memorial Prize in Economic Sciences for his research on consumption analysis, monetary history and theory, and the complexity of stabilization policy.","Milton Friedman, the person who said Savage was a genius, was American.",0
Who won the singles title at a 1973 tennis tournament held at a Los Angeles arena designed by architect Charles Luckman?,"The 1973 British Motor Cars of Los Angeles was a women's tennis tournament played on indoor carpet courts at the The Forum in Los Angeles, California in the United States that was part of the 1973 Virginia Slims World Championship Series. The final was watched by 2,693 spectators who saw first-seeded Margaret Court win the singles title and earn $6,000 first-prize money.The Forum is a multi-purpose indoor arena in Inglewood, California, adjacent to Los Angeles. Architect Charles Luckman's vision was brought to life by engineers Carl Johnson and Svend Nielsen, who were able to engineer the structure so that it had no major support pillars.",Margaret Court,1
Who won the singles title at a 1973 tennis tournament held at a Los Angeles arena designed by architect Charles Luckman?,"The 1973 British Motor Cars of Los Angeles was a women's tennis tournament played on indoor carpet courts at the The Forum in Los Angeles, California in the United States that was part of the 1973 Virginia Slims World Championship Series. The final was watched by 2,693 spectators who saw first-seeded Margaret Court win the singles title and earn $6,000 first-prize money.The Forum is a multi-purpose indoor arena in Inglewood, California, adjacent to Los Angeles. Architect Charles Luckman's vision was brought to life by engineers Carl Johnson and Svend Nielsen, who were able to engineer the structure so that it had no major support pillars.",Serena Williams won the singles title.,0
What type of game are both Total Overdoes and Chili Con Carnage?,"Chili Con Carnage is an action/adventure third-person shooter video game.Total Overdose (also known as Total Overdose: A Gunslinger's Tale in Mexico; abbreviated as TOD) is an open world action/adventure third-person shooter video game that was developed by Deadline Games and Square Enix, published by Sci Entertainment in Europe and by Eidos Interactive in North America.",third-person shooter,1
What type of game are both Total Overdoes and Chili Con Carnage?,"Chili Con Carnage is an action/adventure third-person shooter video game.Total Overdose (also known as Total Overdose: A Gunslinger's Tale in Mexico; abbreviated as TOD) is an open world action/adventure third-person shooter video game that was developed by Deadline Games and Square Enix, published by Sci Entertainment in Europe and by Eidos Interactive in North America.",Thrilling adventure shooting games.,0
"A felid hybrid is any of a number of hybrid between various species of the cat family, Felidae, there are no known hybrids between the ""Neofelis"", Neofelis is a genus comprising two extant felid species, from which location?"," There are no known hybrids between the ""Neofelis"" (clouded leopard) and other genera.Neofelis is a genus comprising two extant felid species from Southeast Asia: the clouded leopard (""Neofelis nebulosa"") of mainland Asia, and the Sunda clouded leopard (""Neofelis diardi"") of Sumatra and Borneo.",Southeast Asia,1
"A felid hybrid is any of a number of hybrid between various species of the cat family, Felidae, there are no known hybrids between the ""Neofelis"", Neofelis is a genus comprising two extant felid species, from which location?"," There are no known hybrids between the ""Neofelis"" (clouded leopard) and other genera.Neofelis is a genus comprising two extant felid species from Southeast Asia: the clouded leopard (""Neofelis nebulosa"") of mainland Asia, and the Sunda clouded leopard (""Neofelis diardi"") of Sumatra and Borneo.","The ""Neofelis"" hybrids are unknown. Neofelis species are found in Southeast Asia.",0
The Rentals and Suede are both what?,"The Rentals are an American rock band fronted by vocalist Matt Sharp, best known as the former bassist for Weezer.Suede are an English alternative rock band formed in London in 1989.",rock band,1
The Rentals and Suede are both what?,"The Rentals are an American rock band fronted by vocalist Matt Sharp, best known as the former bassist for Weezer.Suede are an English alternative rock band formed in London in 1989.",The Rentals and Suede are both vocal-led bands.,0
"What star of Where the Spies Are appeared in ""'Allo 'Allo!""","Where the Spies Are is a 1965 MGM British comedy adventure film directed by Val Guest and featuring David Niven as Dr Jason Love, Françoise Dorléac, John Le Mesurier, Cyril Cusack and Richard Marner.Richard Marner (born Alexander Molchanoff, 27 March 1921 – 18 March 2004) was a Russian-born British stage and screen actor. He was probably best known for his role as Colonel Kurt Von Strohm in the British sitcom ""'Allo 'Allo!",Richard Marner,1
"What star of Where the Spies Are appeared in ""'Allo 'Allo!""","Where the Spies Are is a 1965 MGM British comedy adventure film directed by Val Guest and featuring David Niven as Dr Jason Love, Françoise Dorléac, John Le Mesurier, Cyril Cusack and Richard Marner.Richard Marner (born Alexander Molchanoff, 27 March 1921 – 18 March 2004) was a Russian-born British stage and screen actor. He was probably best known for his role as Colonel Kurt Von Strohm in the British sitcom ""'Allo 'Allo!","Françoise Dorléac appeared in ""'Allo 'Allo!""",0
Where does Lance Stephenson of the Indiana Pacers basketball team play his home games?,"Lance Stephenson Jr. (born September 5, 1990) is an American professional basketball player for the Indiana Pacers of the National Basketball Association (NBA). They play their home games at Bankers Life Fieldhouse.",Bankers Life Fieldhouse,1
Where does Lance Stephenson of the Indiana Pacers basketball team play his home games?,"Lance Stephenson Jr. (born September 5, 1990) is an American professional basketball player for the Indiana Pacers of the National Basketball Association (NBA). They play their home games at Bankers Life Fieldhouse.",Lance Stephenson plays his home games at the Bankers Life Garage.,0
